index,repository,fileContribuiting
37,spring-guides/gs-accessing-data-rest,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
38,spring-guides/gs-accessing-neo4j-data-rest,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
39,spring-guides/gs-accessing-mongodb-data-rest,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
40,spring-guides/gs-accessing-gemfire-data-rest,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
41,spring-guides/gs-producing-web-service,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
42,spring-guides/gs-caching,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
46,spring-guides/tut-spring-security-and-angular-js,"The code for this guide is open in github. Please send pull requests for proposed changes. If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
47,spring-guides/topical-guides,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
48,spring-guides/gs-spring-boot-docker,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
53,spring-guides/gs-crud-with-vaadin,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
55,spring-guides/tut-spring-boot-oauth2,"The code for this guide is open in github. Please send pull requests for proposed changes. If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
56,spring-guides/gs-service-registration-and-discovery,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
57,spring-guides/gs-centralized-configuration,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
60,spring-guides/gs-testing-web,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
61,spring-guides/gs-accessing-data-mysql,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
62,spring-guides/gs-multi-module,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
63,spring-guides/gs-testing-restdocs,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
65,spring-guides/gs-messaging-gcp-pubsub,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
66,spring-guides/gs-reactive-rest-service,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
67,spring-guides/gs-contract-rest,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
68,spring-guides/gs-accessing-vault,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
69,spring-guides/gs-vault-config,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
70,spring-guides/gs-spring-data-reactive-redis,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
71,spring-guides/gs-spring-boot-for-azure,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
72,spring-guides/gs-gateway,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
73,spring-guides/tut-spring-boot-kotlin,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
75,spring-guides/gs-spring-cloud-loadbalancer,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
80,spring-guides/gs-accessing-data-r2dbc,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
81,spring-guides/gs-cloud-circuit-breaker,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
82,spring-guides/top-spring-on-kubernetes,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
83,spring-guides/gs-tanzu-observability,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
86,spring-guides/gs-guides-with-vscode,"If you have not previously done so, please fill out and
submit the https://cla.pivotal.io/sign/spring[Contributor License Agreement]."
