,repository,fileContribuiting
26,Azure-Samples/active-directory-dotnet-graphapi-console,
27,Azure-Samples/active-directory-dotnet-windowsphone-8.1,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/active-directory-dotnet-windowsphone-8.1/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/active-directory-dotnet-windowsphone-8.1/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
28,Azure-Samples/active-directory-dotnet-native-headless,
29,Azure-Samples/active-directory-dotnet-webapp-groupclaims,
30,Azure-Samples/active-directory-dotnet-web-single-sign-out,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/active-directory-dotnet-webapp-groupclaims/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/active-directory-dotnet-webapp-groupclaims/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
31,Azure-Samples/Azure-MachineLearning-DataScience,
32,Azure-Samples/active-directory-angularjs-singlepageapp,
33,Azure-Samples/active-directory-dotnet-native-multitarget,
34,Azure-Samples/active-directory-dotnet-webapp-roleclaims,
35,Azure-Samples/active-directory-javascript-singlepageapp-dotnet-webapi,
36,Azure-Samples/Azure-MachineLearning-ClientLibrary-Python,
37,Azure-Samples/active-directory-angularjs-singlepageapp-dotnet-webapi,
38,Azure-Samples/active-directory-dotnet-rms-windowsstore,
39,Azure-Samples/active-directory-dotnet-webapp-openidconnect-aspnetcore,
40,Azure-Samples/active-directory-dotnet-native-aspnetcore,
41,Azure-Samples/active-directory-dotnet-webapp-webapi-openidconnect-aspnetcore,
42,Azure-Samples/active-directory-cordova-multitarget,
43,Azure-Samples/azure-batch-samples,"# Contributing to Azure Batch samples

Thank you for your interest in contributing to Azure batch samples!

## Ways to contribute

You can contribute to [Azure batch samples](https://github.com/Azure/azure-batch-samples/) in a few different ways:

- Submit issues through [issue tracker](https://github.com/Azure/azure-batch-samples/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request.


## CSharp samples

#### Building the CSharp samples
To build all the CSharp samples without opening Visual Studio, you can use this simple script:
```
for /R %f in (*.sln) do (dotnet build ""%f"")
```

If you want to write the output of the build to a file you can tack on ` >> mybuild.tmp` to the end of the command.

#### Update the Azure.Batch NuGet project reference
The Azure Batch samples should be kept up to date with the latest Azure.Batch NuGet package.

##### Using a text replace
The following commands can be used to perform the textual replace: `rep.exe -find:""<PackageReference Include=\""Microsoft.Azure.Batch\"" Version=\""10.0.0\"" />"" -replace:""<PackageReference Include=\""Microsoft.Azure.Batch\"" Version=\""12.0.0\"" />"" -r *.csproj`
"
44,Azure-Samples/app-service-api-node-food-trucks,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/app-service-api-node-food-trucks/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/app-service-api-node-food-trucks/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
45,Azure-Samples/app-service-api-dotnet-contact-list,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/app-service-api-dotnet-contact-list/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/app-service-api-dotnet-contact-list/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
46,Azure-Samples/app-service-api-dotnet-todo-list,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/app-service-api-dotnet-todo-list/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/app-service-api-dotnet-todo-list/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
47,Azure-Samples/active-directory-cordova-graphapi,
48,Azure-Samples/app-service-api-dotnet-azure-cards,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/app-service-api-dotnet-azure-cards/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/app-service-api-dotnet-azure-cards/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
49,Azure-Samples/active-directory-dotnet-graphapi-reporting,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/active-directory-dotnet-graphapi-reporting/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/active-directory-dotnet-graphapi-reporting/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
50,Azure-Samples/app-service-mobile-dotnet-fieldengineer,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/app-service-mobile-dotnet-fieldengineer/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/app-service-mobile-dotnet-fieldengineer/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
51,Azure-Samples/app-service-api-java-food-trucks,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/app-service-api-java-food-trucks/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/app-service-api-java-food-trucks/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
52,Azure-Samples/active-directory-dotnet-native-uwp-wam,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/active-directory-dotnet-native-uwp-wam/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/active-directory-dotnet-native-uwp-wam/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
53,Azure-Samples/app-service-api-dotnet-swashbuckle-swaggerresponse,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/app-service-api-dotnet-swashbuckle-swaggerresponse/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/app-service-api-dotnet-swashbuckle-swaggerresponse/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
54,Azure-Samples/active-directory-node-webapp-openidconnect,
55,Azure-Samples/storage-blob-dotnet-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-blob-dotnet-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-blob-dotnet-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
56,Azure-Samples/storage-queue-dotnet-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-queue-dotnet-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-queue-dotnet-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
57,Azure-Samples/storage-table-dotnet-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-table-dotnet-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-table-dotnet-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
58,Azure-Samples/storage-file-dotnet-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-file-dotnet-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-file-dotnet-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
59,Azure-Samples/app-service-web-dotnet-aspnetwebapi-angularjs-todoapp,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/app-service-web-dotnet-aspnetwebapi-angularjs-todoapp/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/app-service-web-dotnet-aspnetwebapi-angularjs-todoapp/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
60,Azure-Samples/storage-blob-java-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-blob-java-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-blob-java-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
61,Azure-Samples/app-service-web-php-retwis,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/app-service-web-php-retwis/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/app-service-web-php-retwis/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
62,Azure-Samples/storage-table-java-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-table-java-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-table-java-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
63,Azure-Samples/networking-dotnet-log-converter,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/networking-dotnet-log-converter/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/networking-dotnet-log-converter/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
64,Azure-Samples/storage-queue-java-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-queue-java-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-queue-java-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
65,Azure-Samples/storage-blob-node-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-blob-node-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-blob-node-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
66,Azure-Samples/documentdb-java-todo-app,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/cosmos-java-todo-app/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/cosmos-java-todo-app/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
67,Azure-Samples/storage-table-node-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-table-node-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-table-node-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
68,Azure-Samples/storage-queue-node-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-queue-node-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-queue-node-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
69,Azure-Samples/storage-file-java-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-file-java-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-file-java-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
70,Azure-Samples/storage-file-node-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/storage-file-node-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/storage-file-node-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
71,Azure-Samples/documentdb-node-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/documentdb-node-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/documentdb-node-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
72,Azure-Samples/documentdb-dotnet-todo-app,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/documentdb-dotnet-todo-app/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/documentdb-dotnet-todo-app/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
73,Azure-Samples/documentdb-node-todo-app,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/documentdb-node-todo-app/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/documentdb-node-todo-app/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
74,Azure-Samples/documentdb-dotnet-getting-started,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/documentdb-dotnet-getting-started/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/documentdb-dotnet-getting-started/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
75,Azure-Samples/search-dotnet-asp-net-mvc-jobs,"# Contributing to Azure samples

Thank you for your interest in contributing to Azure samples!

## Ways to contribute

You can contribute to [Azure samples](https://azure.microsoft.com/documentation/samples/) in a few different ways:

- Submit feedback on [this sample page](https://azure.microsoft.com/documentation/samples/search-dotnet-asp-net-mvc-jobs/) whether it was helpful or not.  
- Submit issues through [issue tracker](https://github.com/Azure-Samples/search-dotnet-asp-net-mvc-jobs/issues) on GitHub. We are actively monitoring the issues and improving our samples.
- If you wish to make code changes to samples, or contribute something new, please follow the [GitHub Forks / Pull requests model](https://help.github.com/articles/fork-a-repo/): Fork the sample repo, make the change and propose it back by submitting a pull request."
